"campaign_name","product_id","impressions","clicks","orders","ad_spend","ad_revenue","campaign_month","campaign_year"
"Valentine_Feb_IntProtect","97400200395","29405","1280","54","5725.66","37545.69","2024-02","2024"
"Valentine_Feb_FloorMat","45658971998","36819","1174","33","2472.12","34320.71","2024-02","2024"
"MegaDay_Mar_Tech","23407100433","12138","284","9","1406.76","18811.06","2024-03","2024"
"MegaDay_Mar_FloorMat","40573942048","18748","936","13","1949.37","18673.48","2024-03","2024"
"Songkran_Apr_LED","48958994291","29979","1347","47","6089.66","37859.9","2024-04","2024"
"SummerSale_May_Tech","78765221533","4956","191","2","634.76","7393.6","2024-05","2024"
"SummerSale_May_Charging","99793470412","32111","1204","20","3744.23","45271.54","2024-05","2024"
"MidYear_Jun_Tech","33600892759","18435","608","16","1971.07","21404.09","2024-06","2024"
"MidYear_Jun_Tech","78765221533","5712","222","3","731.32","8033.06","2024-06","2024"
"MidYear_Jun_FloorMat","74856632709","24025","948","15","4019.34","15743.92","2024-06","2024"
"MidYear_Jun_Tech","56649003815","5080","134","2","342.48","3729.1","2024-06","2024"
"MidYear_Jun_Exterior","48076656084","37896","1419","77","6304.05","99824.83","2024-06","2024"
"ShopeeDay_Jul_Tech","33600892759","17116","566","16","1829.88","17538.3","2024-07","2024"
"ShopeeDay_Jul_FloorMat","74856632709","22470","888","15","3759.08","20815.13","2024-07","2024"
"ShopeeDay_Jul_IntProtect","96952328662","48853","1383","15","2262.72","10514.06","2024-07","2024"
"ShopeeDay_Jul_FloorMat","45658971998","13533","279","16","855.28","14714.58","2024-07","2024"
"MomDay_Aug_IntProtect","97400200395","20613","690","31","2216.15","20714.31","2024-08","2024"
"MomDay_Aug_Charging","92142602435","26242","937","43","2148.32","32364.41","2024-08","2024"
"SuperDay_Sep_IntProtect","97400200395","27873","934","43","2996.44","33761.12","2024-09","2024"
"SuperDay_Sep_Storage","53461848034","39522","1075","13","3180.61","7243.36","2024-09","2024"
"SuperDay_Sep_IntProtect","96952328662","19795","359","19","1448.59","10140.97","2024-09","2024"
"SuperDay_Sep_Charging","92142602435","22462","802","37","1838.72","26510.76","2024-09","2024"
"BrandFest_Oct_LED","54398192426","45738","880","29","2706.59","27841.43","2024-10","2024"
"BigSale_Nov_IntProtect","99644156808","3237","147","8","308.96","4254.09","2024-11","2024"
"BigSale_Nov_LED","93723265428","49541","1073","28","2803.21","9937.82","2024-11","2024"
"BigSale_Nov_FloorMat","45658971998","6478","173","5","490.24","5917.16","2024-11","2024"
"BigSale_Nov_LED","30878629159","42974","1962","43","4894.92","37979.58","2024-11","2024"
"YearEnd_Dec_FloorMat","45658971998","8909","240","9","674.05","15551.2","2024-12","2024"
"YearEnd_Dec_LED","21538744139","32126","664","7","2618.1","5605.69","2024-12","2024"
"YearEnd_Dec_Tech","69469661029","6270","214","9","636.12","15731.98","2024-12","2024"
"NewYear_Jan_Charging","19285872202","35097","1718","28","8469.99","33177.82","2025-01","2025"
"NewYear_Jan_LED","30878629159","22577","356","15","1287.89","10146.43","2025-01","2025"
"NewYear_Jan_Exterior","48076656084","47383","1174","62","1474.92","31246.47","2025-01","2025"
"NewYear_Jan_Tech","56649003815","12526","272","8","890.03","18489.06","2025-01","2025"
"Valentine_Feb_IntProtect","84153560132","10049","248","8","795.32","5843.75","2025-02","2025"
"Valentine_Feb_Charging","25442061534","7001","144","5","671.08","2431.16","2025-02","2025"
"Valentine_Feb_Storage","12897829618","14244","443","17","1440.8","5954.68","2025-02","2025"
"Valentine_Feb_IntProtect","80505633798","6325","231","9","966.1","4556.43","2025-02","2025"
"Valentine_Feb_Wheel","31599045734","32246","585","30","1832.01","30530.01","2025-02","2025"
"MegaDay_Mar_Storage","34707348124","4541","169","4","314.23","1409.71","2025-03","2025"
"MegaDay_Mar_LED","21538744139","25113","713","38","759.96","13706.64","2025-03","2025"
"MegaDay_Mar_FloorMat","21310482897","22568","720","37","3563.51","57200.05","2025-03","2025"
"MegaDay_Mar_Charging","95876254459","16273","614","15","958.59","17876.09","2025-03","2025"
"MegaDay_Mar_IntProtect","80505633798","8000","293","13","1221.93","7148.67","2025-03","2025"
"MegaDay_Mar_Storage","53461848034","31933","1528","65","5896.84","22241.9","2025-03","2025"
"Songkran_Apr_FloorMat","21310482897","26585","849","44","4197.49","67054.05","2025-04","2025"
"Songkran_Apr_Charging","95876254459","11617","440","11","684.3","14699.01","2025-04","2025"
"SummerSale_May_Charging","33640102296","36483","1407","19","4248.03","31714.33","2025-05","2025"
"SummerSale_May_IntProtect","37074405927","13767","257","13","958.04","5751.39","2025-05","2025"
"MidYear_Jun_Tech","93717236404","5267","137","4","215.37","3582.47","2025-06","2025"
"MidYear_Jun_IntProtect","37074405927","14012","263","14","975.03","7768.68","2025-06","2025"
"ShopeeDay_Jul_Storage","53461848034","18936","499","8","981.31","5483.12","2025-07","2025"
"ShopeeDay_Jul_FloorMat","78958991632","30291","851","13","1916.06","29509.99","2025-07","2025"
"ShopeeDay_Jul_Tech","93717236404","5128","135","4","209.63","4579.61","2025-07","2025"
"MomDay_Aug_IntProtect","99644156808","35681","1364","16","3387.81","12882.24","2025-08","2025"
"MomDay_Aug_Storage","53461848034","16279","429","8","843.57","4731.52","2025-08","2025"
"MomDay_Aug_Charging","19285872202","23344","454","10","524.17","8710.01","2025-08","2025"
"MomDay_Aug_LED","36119580921","16253","341","19","993.44","5936.93","2025-08","2025"
"SuperDay_Sep_Charging","92142602435","24163","1096","29","1483.33","30521.09","2025-09","2025"
"BrandFest_Oct_Charging","95876254459","2803","109","4","125.06","2139.76","2025-10","2025"
"BrandFest_Oct_Exterior","48076656084","9358","291","16","1404.24","29143.87","2025-10","2025"
"BigSale_Nov_Exterior","58116915417","2235","42","0","103.35","0.0","2025-11","2025"
"BigSale_Nov_Charging","95657098153","1594","26","1","36.33","659.27","2025-11","2025"
"BigSale_Nov_Exterior","48076656084","12277","383","23","1842.01","33960.11","2025-11","2025"
"YearEnd_Dec_Storage","18488361065","6011","154","6","556.62","2544.47","2025-12","2025"
"YearEnd_Dec_IntProtect","90437282652","2027","75","3","359.18","2531.57","2025-12","2025"
"YearEnd_Dec_Charging","95657098153","1592","26","1","36.27","640.12","2025-12","2025"
"YearEnd_Dec_Exterior","91434066023","31387","770","38","1024.21","21112.74","2025-12","2025"
"NewYear_Jan_Tech","93717236404","35621","731","26","1870.44","38990.93","2026-01","2026"
"NewYear_Jan_Exterior","58116915417","28120","949","44","3789.57","77765.05","2026-01","2026"
"Valentine_Feb_Tech","33600892759","49254","1320","60","5712.17","98210.52","2026-02","2026"
"Valentine_Feb_FloorMat","17729987390","34118","652","22","3042.02","65671.65","2026-02","2026"
"Valentine_Feb_LED","54398192426","21759","1078","18","4712.39","11640.03","2026-02","2026"
"Valentine_Feb_LED","21538744139","30243","1212","36","3581.94","12730.92","2026-02","2026"
"MegaDay_Mar_Charging","75439204556","32230","802","21","2997.99","10267.83","2026-03","2026"
"MegaDay_Mar_Tech","30971518868","18053","606","13","2462.46","18571.75","2026-03","2026"
"MegaDay_Mar_Tech","78765221533","17261","551","7","887.47","20341.52","2026-03","2026"
"Songkran_Apr_Tech","27048013278","37089","849","34","1969.54","30794.3","2026-04","2026"
"Songkran_Apr_Tech","30971518868","13987","471","11","1907.68","27681.25","2026-04","2026"
"Songkran_Apr_Tech","78765221533","17784","569","8","914.34","18553.0","2026-04","2026"
"Songkran_Apr_FloorMat","40573942048","16212","243","12","1199.6","28319.91","2026-04","2026"
"Songkran_Apr_Tech","93717236404","24637","406","15","515.25","11442.27","2026-04","2026"
"Songkran_Apr_Storage","81949767884","42136","1103","38","2379.31","20898.2","2026-04","2026"
"SummerSale_May_Charging","92142602435","8349","192","10","425.99","7526.5","2026-05","2026"
"SummerSale_May_IntProtect","33493860742","29054","637","26","2000.44","18099.1","2026-05","2026"
"SummerSale_May_FloorMat","78958991632","5083","137","6","208.14","4027.02","2026-05","2026"
"MidYear_Jun_FloorMat","40573942048","41243","1403","15","1496.76","28461.71","2026-06","2026"
"MidYear_Jun_Tech","33600892759","1656","30","1","82.86","1968.63","2026-06","2026"
"MidYear_Jun_LED","93723265428","11561","357","5","1353.64","2371.86","2026-06","2026"
