loan_id,annual_income,recurring_monthly_debt,principal_interest_pmt,median_fico_score,occupancy_type,dti_ratio,fico_tier
5021367,108000.0,4230.0,2816.78,620.0,Primary residence,78.3,Fair
5021373,89000.0,3635.0,585.95,620.0,Primary residence,56.91,Fair
5021380,142000.0,5325.0,853.6899999999999,620.0,Investment property,52.21,Fair
5021427,32000.0,1120.0,559.68,620.0,Primary residence,62.99,Fair
5021446,122000.0,3864.0,2075.19,620.0,Primary residence,58.42,Fair
5021441,111000.0,3978.0,846.37,620.0,Primary residence,52.16,Fair
5021451,69000.0,2128.0,861.04,620.0,Primary residence,51.98,Fair
5021464,59000.0,1770.0,997.91,620.0,Primary residence,56.3,Fair
5021480,89000.0,3338.0,1469.35,621.0,Primary residence,64.82,Fair
5021496,149000.0,5464.0,1853.26,621.0,Primary residence,58.93,Fair
5021503,115000.0,4217.0,1323.06,621.0,Primary residence,57.81,Fair
5021509,112000.0,3920.0,903.04,621.0,Primary residence,51.68,Fair
5021523,113000.0,1413.0,903.76,621.0,Primary residence,24.6,Fair
5021532,330000.0,3575.0,1893.99,621.0,Primary residence,19.89,Fair
5021581,19000.0,618.0,441.02,621.0,Primary residence,66.89,Fair
5021598,24000.0,960.0,595.16,621.0,Primary residence,77.76,Fair
5021612,63000.0,2153.0,956.5699999999999,621.0,Primary residence,59.23,Fair
5022641,82000.0,1845.0,1107.52,622.0,Primary residence,43.21,Fair
5022654,65000.0,2221.0,997.91,622.0,Primary residence,59.43,Fair
5021853,38000.0,1394.0,875.97,622.0,Primary residence,71.68,Fair
5022235,113000.0,3673.0,970.3199999999999,622.0,Primary residence,49.31,Fair
5023160,260000.0,6934.0,1124.19,622.0,Investment property,37.19,Fair
5021973,52000.0,1907.0,1040.4,622.0,Primary residence,68.02,Fair
5023211,139000.0,5445.0,3156.6400000000003,623.0,Primary residence,74.26,Fair
5023240,52000.0,1777.0,774.55,623.0,Primary residence,58.88,Fair
5023303,118000.0,3639.0,834.99,623.0,Primary residence,45.5,Fair
5022088,194000.0,6790.0,3124.96,623.0,Primary residence,61.33,Fair
5022201,52000.0,1820.0,727.42,623.0,Primary residence,58.79,Fair
5022474,34000.0,1077.0,477.42,623.0,Primary residence,54.86,Fair
5022121,38000.0,1267.0,753.3,623.0,Primary residence,63.8,Fair
5022501,73000.0,1278.0,693.04,624.0,Primary residence,32.4,Fair
5023361,163000.0,2853.0,1931.44,624.0,Primary residence,35.22,Fair
5021792,24000.0,520.0,310.43,624.0,Primary residence,41.52,Fair
5022738,250000.0,7500.0,1445.95,624.0,Second residence,42.94,Fair
5021705,201000.0,6365.0,3532.3300000000004,624.0,Primary residence,59.09,Fair
5021745,107000.0,3032.0,1221.01,624.0,Primary residence,47.7,Fair
5022330,232000.0,6187.0,3419.21,624.0,Primary residence,49.69,Fair
5022811,130000.0,4225.0,1113.05,624.0,Primary residence,49.27,Fair
5021733,80000.0,1734.0,895.06,625.0,Primary residence,39.44,Fair
5021841,44000.0,1724.0,575.51,625.0,Primary residence,62.71,Fair
5022021,249000.0,6848.0,2190.4300000000003,625.0,Primary residence,43.56,Fair
5022231,138000.0,4255.0,2924.7700000000004,625.0,Primary residence,62.43,Fair
5022353,160000.0,4134.0,1186.51,625.0,Investment property,39.9,Fair
5022892,68000.0,2210.0,1174.98,626.0,Primary residence,59.73,Fair
5023167,59000.0,1770.0,886.63,626.0,Primary residence,54.03,Fair
5023479,71000.0,2308.0,1241.76,626.0,Primary residence,60.0,Fair
5022398,151000.0,4530.0,1963.21,626.0,Primary residence,51.6,Fair
5023149,390000.0,12350.0,4367.110000000001,626.0,Investment property,51.44,Fair
5023154,124000.0,3824.0,2563.1200000000003,626.0,Primary residence,61.81,Fair
5023489,67000.0,2513.0,1055.45,627.0,Primary residence,63.91,Fair
5021772,168000.0,6160.0,1469.35,627.0,Primary residence,54.5,Fair
5021882,65000.0,2113.0,1007.42,627.0,Primary residence,57.61,Fair
5022863,131000.0,5022.0,3000.7900000000004,627.0,Primary residence,73.49,Fair
5023519,62000.0,2015.0,1096.84,627.0,Primary residence,60.23,Fair
5023290,133000.0,1663.0,1310.37,627.0,Primary residence,26.83,Fair
5021823,107000.0,3300.0,683.33,627.0,Primary residence,44.67,Fair
5022658,81000.0,3173.0,1386.57,627.0,Primary residence,67.55,Fair
5022663,206000.0,1717.0,933.17,627.0,Primary residence,15.44,Fair
5023419,52000.0,1560.0,1144.26,628.0,Primary residence,62.41,Fair
5022912,90000.0,3150.0,1113.05,628.0,Second residence,56.84,Fair
5023076,122000.0,4677.0,2297.15,628.0,Primary residence,68.6,Fair
5023276,104000.0,3987.0,1934.72,628.0,Primary residence,68.33,Fair
5023401,140000.0,3850.0,1552.1299999999999,628.0,Primary residence,46.3,Fair
5022024,97000.0,2345.0,286.56,628.0,Primary residence,32.56,Fair
5022445,119000.0,3174.0,1323.76,628.0,Primary residence,45.36,Fair
5022764,143000.0,2860.0,1886.72,628.0,Primary residence,39.83,Fair
5022827,157000.0,1832.0,1286.67,628.0,Primary residence,23.84,Fair
5022722,94000.0,3134.0,2143.76,628.0,Primary residence,67.38,Fair
5022824,42000.0,1260.0,735.04,629.0,Primary residence,57.0,Fair
5023253,120000.0,1300.0,1144.26,629.0,Primary residence,24.44,Fair
5023370,99000.0,3630.0,1584.22,630.0,Primary residence,63.2,Fair
5021673,180000.0,5550.0,4221.1900000000005,630.0,Primary residence,65.14,Fair
5021939,136000.0,4420.0,2560.13,630.0,Primary residence,61.59,Fair
5022459,245000.0,3471.0,1491.07,630.0,Primary residence,24.3,Fair
5022535,104000.0,3120.0,972.67,630.0,Primary residence,47.22,Fair
5022556,81000.0,2768.0,1079.37,630.0,Primary residence,57.0,Fair
5021713,83000.0,2836.0,903.04,631.0,Primary residence,54.06,Fair
5021815,110000.0,1834.0,1974.06,631.0,Primary residence,41.54,Fair
5021951,197000.0,3284.0,981.76,631.0,Primary residence,25.98,Fair
5022001,162000.0,4050.0,1388.0,631.0,Primary residence,40.28,Fair
5022165,104000.0,3120.0,1508.67,631.0,Primary residence,53.41,Fair
5022190,77000.0,2375.0,957.18,631.0,Primary residence,51.93,Fair
5022591,194000.0,6629.0,2809.8500000000004,631.0,Primary residence,58.38,Fair
5023171,109000.0,2998.0,2041.62,631.0,Primary residence,55.48,Fair
5022113,14000.0,572.0,278.25,631.0,Primary residence,72.88,Fair
5022318,52000.0,1560.0,1239.06,631.0,Primary residence,64.59,Fair
5022596,215000.0,3225.0,2151.3,632.0,Primary residence,30.01,Fair
5022597,130000.0,2600.0,1197.06,632.0,Primary residence,35.05,Fair
5022608,70000.0,2625.0,753.52,632.0,Primary residence,57.92,Fair
5022775,102000.0,4080.0,1974.39,632.0,Primary residence,71.23,Fair
5022898,107000.0,3924.0,2298.94,632.0,Primary residence,69.79,Fair
5023046,56000.0,934.0,590.6,632.0,Primary residence,32.67,Fair
5023114,134000.0,5807.0,2541.1200000000003,632.0,Second residence,74.76,Fair
5023315,166000.0,4565.0,3014.11,632.0,Primary residence,54.79,Fair
5023324,126000.0,4095.0,1616.06,632.0,Primary residence,54.39,Fair
5022408,44000.0,1540.0,1059.28,632.0,Primary residence,70.89,Fair
5022615,128000.0,4694.0,2600.0400000000004,632.0,Primary residence,68.38,Fair
5023521,183000.0,4880.0,1696.78,632.0,Primary residence,43.13,Fair
5023530,85000.0,2550.0,945.05,633.0,Primary residence,49.34,Fair
5023543,96000.0,3440.0,1154.33,633.0,Primary residence,57.43,Fair
5023559,55000.0,2063.0,1138.23,633.0,Primary residence,69.85,Fair
5023562,140000.0,4900.0,991.93,633.0,Primary residence,50.5,Fair
5023582,120000.0,3500.0,1136.93,633.0,Primary residence,46.37,Fair
5023606,64000.0,1334.0,925.41,633.0,Primary residence,42.36,Fair
5023623,166000.0,5810.0,1186.51,633.0,Investment property,50.58,Fair
5023629,300000.0,5500.0,1367.2,633.0,Primary residence,27.47,Fair
5023649,181000.0,4525.0,2362.19,633.0,Primary residence,45.66,Fair
5023752,195000.0,4875.0,1983.01,633.0,Primary residence,42.2,Fair
5023771,58000.0,1644.0,585.13,634.0,Primary residence,46.12,Fair
5023797,241000.0,9038.0,947.85,634.0,Investment property,49.72,Fair
5023800,230000.0,2875.0,1449.07,634.0,Primary residence,22.56,Fair
5023812,65000.0,2059.0,929.33,634.0,Investment property,55.17,Fair
5023840,82000.0,2392.0,1138.23,634.0,Primary residence,51.66,Fair
5023844,131000.0,4149.0,2166.1200000000003,634.0,Primary residence,57.85,Fair
5023848,88000.0,2714.0,777.04,634.0,Primary residence,47.61,Fair
5023865,68000.0,2324.0,930.88,634.0,Primary residence,57.44,Fair
5023940,127000.0,3599.0,947.85,634.0,Investment property,42.96,Fair
5023961,90000.0,1575.0,1164.15,634.0,Primary residence,36.52,Fair
5023998,85000.0,2267.0,794.26,635.0,Primary residence,43.22,Fair
5024009,52000.0,954.0,577.1,635.0,Primary residence,35.33,Fair
5021398,244000.0,8134.0,3166.2000000000003,635.0,Primary residence,55.57,Fair
5021433,73000.0,2251.0,1283.02,635.0,Primary residence,58.09,Fair
5021450,255000.0,9350.0,2667.19,635.0,Second residence,56.55,Fair
5021461,58000.0,2272.0,861.04,635.0,Primary residence,64.82,Fair
5021472,64000.0,2454.0,1141.74,635.0,Primary residence,67.42,Fair
5021475,89000.0,2225.0,682.43,635.0,Primary residence,39.2,Fair
5021476,84000.0,2800.0,1556.04,635.0,Primary residence,62.23,Fair
5021494,114000.0,2660.0,1201.56,635.0,Second residence,40.65,Fair
5021506,67000.0,2625.0,1827.08,635.0,Primary residence,79.74,Fair
5021518,107000.0,1338.0,967.13,635.0,Primary residence,25.85,Fair
5021534,111000.0,2683.0,1038.64,635.0,Primary residence,40.23,Fair
5021537,159000.0,5035.0,2293.7900000000004,635.0,Primary residence,55.31,Fair
5021539,234000.0,3705.0,1316.07,635.0,Primary residence,25.75,Fair
5021576,95000.0,2930.0,916.79,636.0,Primary residence,48.59,Fair
5021597,103000.0,3777.0,1106.78,636.0,Primary residence,56.9,Fair
5021657,100000.0,2000.0,1283.02,636.0,Primary residence,39.4,Fair
5021670,162000.0,4860.0,3177.82,636.0,Primary residence,59.54,Fair
5021675,160000.0,3067.0,1994.27,636.0,Primary residence,37.96,Fair
5021693,166000.0,5810.0,1155.06,636.0,Primary residence,50.35,Fair
5021715,63000.0,2468.0,682.43,636.0,Primary residence,60.01,Fair
5021800,35000.0,671.0,462.9,636.0,Primary residence,38.88,Fair
5021812,399000.0,4988.0,2048.8100000000004,636.0,Primary residence,21.16,Fair
5021862,140000.0,3734.0,1520.96,636.0,Primary residence,45.04,Fair
5021871,126000.0,2520.0,1201.56,636.0,Primary residence,35.44,Fair
5021894,43000.0,1541.0,1340.42,637.0,Primary residence,80.41,Fair
5021907,121000.0,2420.0,796.9399999999999,637.0,Second residence,31.9,Fair
5021921,127000.0,3810.0,2090.2000000000003,637.0,Primary residence,55.75,Fair
5021929,48000.0,1320.0,455.74,637.0,Primary residence,44.39,Fair
5021938,69000.0,1840.0,945.05,637.0,Primary residence,48.44,Fair
5021990,127000.0,2329.0,1206.67,637.0,Primary residence,33.41,Fair
5022040,127000.0,4445.0,613.8199999999999,637.0,Primary residence,47.8,Fair
5022047,107000.0,4280.0,2335.9,637.0,Primary residence,74.2,Fair
5022050,384000.0,3520.0,2752.4500000000003,637.0,Primary residence,19.6,Fair
5022122,55000.0,505.0,519.7,637.0,Primary residence,22.36,Fair
5022141,140000.0,4550.0,2712.7000000000003,637.0,Primary residence,62.25,Fair
5022196,215000.0,2150.0,2079.25,638.0,Primary residence,23.61,Fair
5022218,188000.0,2664.0,1388.0,638.0,Primary residence,25.86,Fair
5022238,44000.0,807.0,300.09,638.0,Primary residence,30.19,Fair
5022243,118000.0,1475.0,1062.06,638.0,Primary residence,25.8,Fair
5022273,275000.0,5042.0,1768.57,638.0,Primary residence,29.72,Fair
5022275,103000.0,3262.0,1036.02,638.0,Primary residence,50.07,Fair
5022281,97000.0,2910.0,1391.23,638.0,Primary residence,53.21,Fair
5022293,113000.0,4426.0,2261.09,638.0,Primary residence,71.01,Fair
5022297,208000.0,5200.0,1575.07,638.0,Primary residence,39.09,Fair
5022301,137000.0,4681.0,1960.5,638.0,Primary residence,58.17,Fair
5022307,371000.0,10203.0,867.14,638.0,Investment property,35.81,Fair
5022315,39000.0,1398.0,848.5,639.0,Primary residence,69.12,Fair
5022323,98000.0,1634.0,759.56,639.0,Primary residence,29.31,Fair
5022342,140000.0,3734.0,2564.69,639.0,Primary residence,53.99,Fair
5022362,48000.0,1520.0,1280.4,639.0,Primary residence,70.01,Fair
5022388,182000.0,5460.0,1468.35,639.0,Primary residence,45.68,Fair
5022405,80000.0,1867.0,519.7,639.0,Primary residence,35.8,Fair
5022411,130000.0,4767.0,1281.06,639.0,Primary residence,55.83,Fair
5022439,88000.0,2347.0,768.89,639.0,Primary residence,42.49,Fair
5022454,37000.0,1388.0,551.08,639.0,Primary residence,62.89,Fair
5022479,30000.0,1075.0,629.35,639.0,Primary residence,68.17,Fair
5022485,31000.0,1266.0,682.9399999999999,639.0,Primary residence,75.44,Fair
5022493,82000.0,2597.0,1606.81,639.0,Primary residence,61.52,Fair
5022533,64000.0,2560.0,1454.27,639.0,Primary residence,75.27,Fair
5022563,112000.0,2427.0,1281.06,639.0,Primary residence,39.73,Fair
5022611,117000.0,2048.0,1014.06,639.0,Primary residence,31.41,Fair
5022621,59000.0,984.0,847.93,639.0,Primary residence,37.26,Fair
5022682,57000.0,1900.0,987.05,640.0,Primary residence,60.78,Fair
5022687,120000.0,4900.0,903.04,640.0,Primary residence,58.03,Fair
5022721,86000.0,2724.0,1364.49,640.0,Primary residence,57.05,Fair
5022728,94000.0,3447.0,1280.4,640.0,Primary residence,60.35,Fair
5022758,172000.0,4014.0,1829.66,640.0,Primary residence,40.77,Fair
5022786,162000.0,2700.0,1197.06,640.0,Primary residence,28.87,Fair
5022833,93000.0,3720.0,911.99,640.0,Primary residence,59.77,Fair
5022871,77000.0,2182.0,1376.01,640.0,Primary residence,55.45,Fair
5022882,39000.0,1203.0,525.03,640.0,Primary residence,53.17,Fair
5022904,90000.0,2625.0,987.05,640.0,Primary residence,48.16,Fair
5022915,80000.0,2734.0,1106.78,640.0,Primary residence,57.61,Fair
5022925,57000.0,1093.0,783.55,640.0,Primary residence,39.51,Fair
5022951,62000.0,1602.0,567.03,640.0,Primary residence,41.98,Fair
5022965,63000.0,2468.0,1644.5,640.0,Primary residence,78.33,Fair
5022978,123000.0,2870.0,933.17,640.0,Investment property,37.1,Fair
5023101,108000.0,2700.0,991.93,640.0,Primary residence,41.02,Fair
5023121,57000.0,1948.0,957.18,640.0,Primary residence,61.16,Fair
5023130,69000.0,1725.0,735.81,641.0,Primary residence,42.8,Fair
5023157,143000.0,2503.0,875.89,641.0,Primary residence,28.35,Fair
5023188,161000.0,6440.0,1960.2,641.0,Primary residence,62.61,Fair
5023227,107000.0,3745.0,2065.07,641.0,Second residence,65.16,Fair
5023272,415000.0,4496.0,629.35,641.0,Primary residence,14.82,Fair
5023318,325000.0,3792.0,2798.5800000000004,641.0,Primary residence,24.33,Fair
5023389,241000.0,5423.0,3054.9300000000003,641.0,Primary residence,42.21,Fair
5023391,163000.0,3260.0,2113.98,641.0,Primary residence,39.56,Fair
5023409,81000.0,1350.0,889.89,641.0,Primary residence,33.18,Fair
5023429,454000.0,7567.0,3301.9900000000002,641.0,Primary residence,28.73,Fair
5023458,55000.0,1513.0,956.45,641.0,Primary residence,53.88,Fair
5023477,97000.0,1213.0,566.74,641.0,Primary residence,22.02,Fair
5023544,79000.0,2831.0,2105.05,641.0,Primary residence,74.98,Fair
5023547,158000.0,5794.0,1911.09,641.0,Primary residence,58.52,Fair
5023596,104000.0,3380.0,1427.96,641.0,Primary residence,55.48,Fair
5023615,114000.0,3610.0,1113.05,641.0,Primary residence,49.72,Fair
5023660,71000.0,2426.0,839.03,641.0,Primary residence,55.18,Fair
5023681,42000.0,1645.0,1431.34,642.0,Primary residence,87.9,Fair
5023684,79000.0,2502.0,716.16,642.0,Primary residence,48.88,Fair
5023760,77000.0,2375.0,1262.4,642.0,Primary residence,56.69,Fair
5023762,60000.0,2050.0,650.52,642.0,Primary residence,54.01,Fair
5023809,76000.0,1900.0,987.05,642.0,Primary residence,45.59,Fair
5023813,110000.0,1834.0,1405.8,642.0,Primary residence,35.34,Fair
5023831,63000.0,1995.0,1113.05,642.0,Primary residence,59.2,Fair
5023928,27000.0,698.0,448.63,642.0,Primary residence,50.96,Fair
5023955,71000.0,1420.0,972.67,642.0,Primary residence,40.44,Fair
5023956,271000.0,3162.0,2344.53,642.0,Primary residence,24.38,Fair
5023964,100000.0,1917.0,1510.74,642.0,Primary residence,41.13,Fair
5021369,362000.0,5732.0,1365.06,643.0,Primary residence,23.53,Fair
5021405,65000.0,2005.0,738.52,643.0,Primary residence,50.65,Fair
5021409,125000.0,4792.0,2274.5800000000004,643.0,Primary residence,67.84,Fair
5021418,72000.0,1620.0,507.81,643.0,Primary residence,35.46,Fair
