loan_id,state_code,county,derived_dwelling_category,property_value,loan_amount,ltv_ratio,ltv_tier
5021367,CA,Los Angeles   ,Single Family (1-4 Units):Site-Built,993257.0,545000.0,54.87,Standard Risk (<=80%)
5021373,CA,Lake    ,Single Family (1-4 Units):Site-Built,232439.0,135000.0,58.08,Standard Risk (<=80%)
5021380,CA,Kern    ,Single Family (1-4 Units):Site-Built,187519.0,125000.0,66.66,Standard Risk (<=80%)
5021427,NC,Forsyth    ,Single Family (1-4 Units):Site-Built,156250.0,125000.0,80.0,Standard Risk (<=80%)
5021446,MA,Middlesex    ,Single Family (1-4 Units):Site-Built,858060.0,535000.0,62.35,Standard Risk (<=80%)
5021441,GA,Gwinnett    ,Single Family (1-4 Units):Site-Built,291045.0,195000.0,67.0,Standard Risk (<=80%)
5021451,IL,Will    ,Single Family (1-4 Units):Site-Built,259494.0,205000.0,79.0,Standard Risk (<=80%)
5021464,UT,Salt Lake   ,Single Family (1-4 Units):Site-Built,331216.0,245000.0,73.97,Standard Risk (<=80%)
5021480,MA,Essex    ,Single Family (1-4 Units):Site-Built,394445.0,355000.0,90.0,High Risk (>80%)
5021496,FL,Brevard    ,Single Family (1-4 Units):Site-Built,837013.0,455000.0,54.36,Standard Risk (<=80%)
5021503,AZ,Maricopa    ,Single Family (1-4 Units):Site-Built,571377.0,315000.0,55.13,Standard Risk (<=80%)
5021509,IN,Madison    ,Single Family (1-4 Units):Site-Built,307143.0,215000.0,70.0,Standard Risk (<=80%)
5021523,FL,Clay    ,Single Family (1-4 Units):Site-Built,256250.0,205000.0,80.0,Standard Risk (<=80%)
5021532,MI,Oakland    ,Single Family (1-4 Units):Site-Built,670029.0,465000.0,69.4,Standard Risk (<=80%)
5021581,AZ,Pinal    ,Single Family (1-4 Units):Site-Built,328125.0,105000.0,32.0,Standard Risk (<=80%)
5021598,WA,Lewis    ,Single Family (1-4 Units):Site-Built,588492.0,135000.0,22.94,Standard Risk (<=80%)
5021612,TX,Guadalupe    ,Single Family (1-4 Units):Site-Built,325397.0,205000.0,63.0,Standard Risk (<=80%)
5022641,TX,Harris    ,Single Family (1-4 Units):Site-Built,225011.0,165000.0,73.33,Standard Risk (<=80%)
5022654,WA,Pierce    ,Single Family (1-4 Units):Site-Built,655431.0,245000.0,37.38,Standard Risk (<=80%)
