loan_id,closing_date,file_in_audit,file_audit_complete,file_sent_to_custodian,file_at_custodian,audit_tat_days,custodian_tat_days
5023130,2021-04-01,2021-04-05,,,,,
5031773,2021-05-06,2021-05-10,2021-05-13,2021-05-14,,7,
5035386,2021-05-12,2021-05-14,,,,,
5029192,2021-06-12,,,,,,
5037272,2021-06-23,2021-06-28,,,,,
5036674,2021-06-26,2021-06-29,,,,,
5033335,2021-06-28,,,,,,
5030138,2021-07-05,2021-07-09,,,,,
5033452,2021-07-07,2021-07-12,2021-07-14,2021-07-15,,7,
5035109,2021-07-15,2021-07-19,,,,,
5023992,2021-07-15,,,,,,
5036358,2021-07-19,2021-07-23,,,,,
5022494,2021-07-20,2021-07-22,,,,,
5032643,2021-07-23,2021-07-27,,,,,
5030776,2021-07-26,2021-07-28,2021-08-02,2021-08-04,2021-09-17,7,46
5035229,2021-07-30,2021-08-04,2021-08-06,2021-08-09,,7,
5031803,2021-08-02,2021-08-04,2021-08-06,2021-08-09,2021-09-13,4,38
5036400,2021-08-02,2021-08-04,2021-08-06,2021-08-09,,4,
5037304,2021-08-02,2021-08-05,2021-08-09,2021-08-09,2021-09-17,7,39
5036637,2021-08-02,2021-08-06,2021-08-09,2021-08-09,,7,
5027970,2021-08-02,,,,,,
5030953,2021-08-02,,,,,,
5032479,2021-08-03,2021-08-09,2021-08-09,2021-08-11,2021-09-15,6,37
5021444,2021-08-03,2021-08-10,2021-08-16,2021-08-16,2021-09-15,13,30
5032100,2021-08-03,2021-08-12,,,,,
5033147,2021-08-04,2021-08-09,2021-08-09,2021-08-10,,5,
5033386,2021-08-05,2021-08-09,2021-08-12,2021-08-13,,7,
5024865,2021-08-05,2021-08-09,2021-08-13,,,8,
5032821,2021-08-05,2021-08-10,,,,,
5023503,2021-08-06,2021-08-09,2021-08-10,2021-08-11,,4,
5031133,2021-08-06,2021-08-09,2021-08-10,,,4,
5025627,2021-08-06,2021-08-09,2021-08-11,2021-08-12,,5,
5031984,2021-08-07,2021-08-10,2021-08-12,2021-08-13,,5,
5033493,2021-08-07,,,,,,
5027215,2021-08-09,2021-08-12,2021-08-16,2021-08-16,,7,
5029274,2021-08-09,2021-08-16,2021-08-18,2021-08-19,,9,
5033955,2021-08-09,,,,,,
5022994,2021-08-09,,,,,,
5029130,2021-08-10,2021-08-12,2021-08-16,2021-08-16,,6,
5024017,2021-08-10,2021-08-13,,,,,
5031607,2021-08-10,2021-08-16,,,,,
5027860,2021-08-10,,,,,,
5021946,2021-08-10,,,,,,
5029136,2021-08-10,,,,,,
5024078,2021-08-10,,,,,,
5029190,2021-08-10,,,,,,
5023396,2021-08-11,2021-08-16,,,,,
5032179,2021-08-11,2021-08-16,,,,,
5026163,2021-08-11,2021-08-16,,,,,
5029208,2021-08-11,2021-08-16,,,,,
5022847,2021-08-12,2021-08-16,,,,,
5035465,2021-08-12,2021-08-18,,,,,
5031807,2021-08-12,2021-08-18,,,,,
5022340,2021-08-12,2021-08-18,,,,,
5026687,2021-08-13,2021-08-16,,,,,
5022892,2021-08-14,2021-08-16,2021-08-19,,,5,
5033024,2021-08-14,2021-08-16,2021-08-18,,,4,
5023771,2021-08-14,2021-08-18,,,,,
5027998,2021-08-14,2021-08-18,,,,,
5031172,2021-08-14,2021-08-23,2021-08-24,2021-08-25,2021-08-27,10,3
5035901,2021-08-14,,,,,,
5037320,2021-08-16,2021-08-18,2021-08-20,2021-08-23,2021-08-25,4,5
5033963,2021-08-16,2021-08-20,2021-08-24,2021-08-25,2021-08-27,8,3
5026112,2021-08-16,2021-08-20,2021-08-23,2021-08-23,2021-08-25,7,2
5035362,2021-08-17,2021-08-20,2021-08-23,2021-08-23,2021-08-25,6,2
5027284,2021-08-17,2021-08-23,2021-08-24,2021-08-26,2021-08-30,7,6
5032647,2021-08-17,2021-08-23,2021-08-24,2021-08-25,2021-08-27,7,3
5024202,2021-08-18,2021-08-20,2021-08-23,2021-08-24,2021-08-26,5,3
5026171,2021-08-18,2021-08-23,2021-08-25,2021-08-26,2021-08-30,7,5
5027918,2021-08-18,2021-08-24,2021-08-26,2021-08-27,2021-08-30,8,4
5028189,2021-08-18,2021-08-24,2021-08-27,2021-08-30,,9,
5024320,2021-08-19,2021-08-23,2021-08-23,2021-08-24,2021-08-26,4,3
5029226,2021-08-19,,,2021-08-26,2021-08-30,,
5031275,2021-08-19,,,2021-08-26,2021-08-30,,
