loan_id,loan_amount,interest_rate,loan_term,loan_purpose,closing_date,securitization_price,max_whole_loan_bid,best_whole_loan_buyer,target_profit_usd,best_execution_method,best_execution_price,origination_charges,lender_credits,realized_gross_profit,profit_variance
5021367,545000.0,2.25,240,Refinancing,2021-08-27,103.03,0.0,Golden Sachs,27250.000000000025,Securitization (UMBS),103.03,10736.50000000003,0.0,16513.5,-10736.5
5021373,135000.0,3.25,360,Refinancing,2021-08-31,104.61,0.0,Golden Sachs,6750.000000000006,Securitization (UMBS),104.61,526.5000000000027,0.0,6223.5,-526.5
5021380,125000.0,2.875,180,Refinancing,2021-09-01,103.19,0.0,Golden Sachs,6250.0000000000055,Securitization (UMBS),103.19,2262.5000000000005,0.0,3987.5,-2262.5
5021427,125000.0,3.5,360,Refinancing,2021-09-09,104.61,0.0,Golden Sachs,6250.0000000000055,Securitization (UMBS),104.61,487.5000000000018,0.0,5762.5,-487.5
5021446,535000.0,2.375,360,Refinancing,2021-09-11,99.88,0.0,Golden Sachs,26750.000000000025,Securitization (UMBS),99.88,27392.000000000073,0.0,-642.0,-27392.0
5021441,195000.0,3.25,360,Cash-out refinance,2021-09-13,104.61,0.0,Golden Sachs,9750.00000000001,Securitization (UMBS),104.61,760.5000000000036,0.0,8989.5,-760.5
5021451,205000.0,2.99,360,Refinancing,2021-09-13,103.19,0.0,Golden Sachs,10250.00000000001,Securitization (UMBS),103.19,3710.500000000001,0.0,6539.5,-3710.5
5021464,245000.0,2.75,360,Refinancing,2021-09-17,103.19,0.0,Golden Sachs,12250.000000000011,Securitization (UMBS),103.19,4434.500000000001,0.0,7815.5,-4434.5
5021480,355000.0,2.875,360,Home purchase,2021-08-25,103.19,0.0,Golden Sachs,17750.000000000015,Securitization (UMBS),103.19,6425.5,0.0,11324.5,-6425.5
5021496,455000.0,2.75,360,Refinancing,2021-08-25,103.19,0.0,Golden Sachs,22750.000000000022,Securitization (UMBS),103.19,8235.500000000004,0.0,14514.5,-8235.5
5021503,315000.0,2.99,360,Cash-out refinance,2021-09-02,103.19,0.0,Golden Sachs,15750.000000000015,Securitization (UMBS),103.19,5701.500000000002,0.0,10048.5,-5701.5
5021509,215000.0,2.99,360,Cash-out refinance,2021-09-07,103.19,0.0,Golden Sachs,10750.00000000001,Securitization (UMBS),103.19,3891.500000000001,0.0,6858.5,-3891.5
