loan_id,loan_amount,first_payment_date,principal_interest_payment,interest_rate,loan_term,next_payment_due_date,payment_periods_made,current_balance
5021364,375000,2021-10-01,1632.03,0.0325,360,2021-10-01,0,375000.0
5021367,545000,2021-10-01,2822.06,0.0225,240,2021-10-01,0,545000.0
5021369,325000,2021-10-01,1368.47,0.029900000000000003,360,2021-10-01,0,325000.0
5021371,265000,2021-10-01,1099.47,0.02875,360,2021-10-01,0,265000.0
5021372,295000,2021-11-01,1304.19,0.03375,360,2021-11-01,0,295000.0
5021373,135000,2021-10-01,587.53,0.0325,360,2021-10-01,0,135000.0
5021374,155000,2021-11-01,652.66,0.029900000000000003,360,2021-11-01,0,155000.0
5021376,205000,2021-11-01,892.18,0.0325,360,2021-11-01,0,205000.0
5021380,125000,2021-10-01,855.74,0.02875,180,2021-10-01,0,125000.0
5021381,595000,2021-10-01,2651.93,0.0344,360,2021-10-01,0,595000.0
5021384,235000,2021-11-01,1539.45,0.0225,180,2021-11-01,0,235000.0
5021389,325000,2021-10-01,2089.91,0.0199,180,2021-10-01,0,325000.0
5021391,85000,2021-10-01,369.93,0.0325,360,2021-10-01,0,85000.0
5021394,275000,2021-10-01,1196.82,0.0325,360,2021-10-01,0,275000.0
5021398,735000,2021-10-01,3174.62,0.0319,360,2021-10-01,0,735000.0
5021400,255000,2021-10-01,1319.34,0.029900000000000003,264,2021-10-01,0,255000.0
5021405,135000,2021-10-01,740.29,0.02875,240,2021-10-01,0,135000.0
5021406,105000,2021-10-01,712.56,0.0275,180,2021-10-01,0,105000.0
5021409,545000,2021-10-01,2280.15,0.0294,360,2021-10-01,0,545000.0
5021412,175000,2021-10-01,708.88,0.0269,360,2021-10-01,0,175000.0
5021416,605000,2021-11-01,2547.45,0.029900000000000003,360,2021-11-01,0,605000.0
5021418,75000,2021-10-01,508.97,0.0275,180,2021-10-01,0,75000.0
5021420,555000,2021-10-01,2265.74,0.0275,360,2021-10-01,0,555000.0
5021422,215000,2021-10-01,1864.69,0.025,132,2021-10-01,0,215000.0
5021427,125000,2021-10-01,561.31,0.035,360,2021-10-01,0,125000.0
5021431,205000,2021-11-01,850.53,0.02875,360,2021-11-01,0,205000.0
5021433,315000,2021-10-01,1285.96,0.0275,360,2021-10-01,0,315000.0
5021437,175000,2021-10-01,777.23,0.02875,324,2021-10-01,0,175000.0
5021441,195000,2021-10-01,848.66,0.0325,360,2021-10-01,0,195000.0
5021444,245000,2021-09-01,1313.24,0.02625,240,2021-09-01,0,245000.0
5021446,535000,2021-10-01,2079.3,0.02375,360,2021-10-01,0,535000.0
5021450,605000,2021-10-01,2674.69,0.03375,360,2021-10-01,0,605000.0
5021451,205000,2021-10-01,863.19,0.029900000000000003,360,2021-10-01,0,205000.0
5021455,305000,2021-10-01,1327.38,0.0325,360,2021-10-01,0,305000.0
5021456,495000,2021-10-01,2020.8,0.0275,360,2021-10-01,0,495000.0
5021461,205000,2021-10-01,863.19,0.029900000000000003,360,2021-10-01,0,205000.0
5021464,245000,2021-11-01,1000.2,0.0275,360,2021-11-01,0,245000.0
5021465,105000,2021-10-01,493.75,0.03875,360,2021-10-01,0,105000.0
5021467,295000,2021-10-01,1304.19,0.03375,360,2021-10-01,0,295000.0
5021468,95000,2021-10-01,420.0,0.03375,360,2021-10-01,0,95000.0
5021472,255000,2021-10-01,1145.07,0.035,360,2021-10-01,0,255000.0
5021475,85000,2021-10-01,683.85,0.025,144,2021-10-01,0,85000.0
5021476,385000,2021-10-01,1559.52,0.0269,360,2021-10-01,0,385000.0
5021480,355000,2021-10-01,1472.87,0.02875,360,2021-10-01,0,355000.0
5021484,165000,2021-10-01,1090.52,0.02375,180,2021-10-01,0,165000.0
5021487,665000,2021-11-01,2872.27,0.0319,360,2021-11-01,0,665000.0
5021488,425000,2021-10-01,1763.3,0.02875,360,2021-10-01,0,425000.0
5021492,275000,2021-10-01,1104.54,0.02625,360,2021-10-01,0,275000.0
5021493,285000,2021-10-01,1126.1,0.025,360,2021-10-01,0,285000.0
5021494,295000,2021-10-01,1204.32,0.0275,360,2021-10-01,0,295000.0
5021496,455000,2021-10-01,1857.5,0.0275,360,2021-10-01,0,455000.0
5021499,465000,2021-10-01,3046.15,0.0225,180,2021-10-01,0,465000.0
5021503,315000,2021-10-01,1326.36,0.029900000000000003,360,2021-10-01,0,315000.0
5021505,205000,2021-10-01,1342.93,0.0225,180,2021-10-01,0,205000.0
5021506,435000,2021-10-01,1831.64,0.029900000000000003,360,2021-10-01,0,435000.0
5021509,215000,2021-10-01,905.29,0.029900000000000003,360,2021-10-01,0,215000.0
5021511,715000,2021-10-01,3876.49,0.0275,240,2021-10-01,0,715000.0
5021515,215000,2021-10-01,877.72,0.0275,360,2021-10-01,0,215000.0
5021516,595000,2021-10-01,2350.97,0.025,360,2021-10-01,0,595000.0
5021518,165000,2021-10-01,969.35,0.0275,216,2021-10-01,0,165000.0
5021519,295000,2021-10-01,2713.08,0.0199,120,2021-10-01,0,295000.0
5021523,205000,2021-10-01,906.3,0.03375,360,2021-10-01,0,205000.0
5021526,165000,2021-10-01,764.15,0.0375,360,2021-10-01,0,165000.0
5021530,105000,2021-10-01,712.56,0.0275,180,2021-10-01,0,105000.0
5021532,465000,2021-10-01,1898.33,0.0275,360,2021-10-01,0,465000.0
5021534,255000,2021-10-01,1041.02,0.0275,360,2021-10-01,0,255000.0
5021537,415000,2021-11-01,2299.51,0.029900000000000003,240,2021-11-01,0,415000.0
5021539,205000,2021-11-01,1318.25,0.0199,180,2021-11-01,0,205000.0
5021540,125000,2021-10-01,552.63,0.03375,360,2021-10-01,0,125000.0
5021542,325000,2021-10-01,1436.82,0.03375,360,2021-10-01,0,325000.0
5021545,135000,2021-10-01,596.83,0.03375,360,2021-10-01,0,135000.0
5021550,655000,2021-10-01,2941.25,0.035,360,2021-10-01,0,655000.0
5021554,105000,2021-10-01,700.13,0.025,180,2021-10-01,0,105000.0
5021555,165000,2021-10-01,1421.62,0.02375,132,2021-10-01,0,165000.0
5021558,425000,2021-10-01,1849.63,0.0325,360,2021-10-01,0,425000.0
5021561,815000,2021-10-01,3603.09,0.03375,360,2021-10-01,0,815000.0
5021562,155000,2021-10-01,663.99,0.03125,360,2021-10-01,0,155000.0
5021566,255000,2021-10-01,1259.67,0.03125,288,2021-10-01,0,255000.0
5021568,175000,2021-10-01,992.6,0.0325,240,2021-10-01,0,175000.0
