loan_id,golden_sachs,storgan_manley,smells_largo,bank_of_americans,pj_logan
5021364,102.75,102.78125,102.84375,102.8125,102.71875
5021367,0.0,0.0,0.0,0.0,0.0
5021369,100.8775,100.84625,100.84625,100.815,100.84625
5021371,101.065,101.09625,101.15875,101.1275,100.90875
5021372,102.9375,103.03125,103.03125,103.0,102.78125
5021373,0.0,0.0,0.0,0.0,0.0
5021374,101.92,101.95125,102.01375,101.9825,101.88875
5021376,103.26625,103.32875,103.32875,103.36,103.0475
5021380,0.0,0.0,0.0,0.0,0.0
5021381,102.5475,102.64125,102.64125,102.61,102.39125
5021384,97.9425,98.03625,97.97375,98.005,97.72375
5021389,95.7,95.66875,95.66875,95.73125,95.66875
5021391,103.9375,103.90625,103.90625,103.9375,103.96875
5021394,102.9225,102.95375,102.89125,102.95375,102.89125
5021398,102.34625,102.34625,102.34625,102.34625,102.315
5021400,100.5025,100.59625,100.59625,100.565,100.47125
5021405,101.47125,101.40875,101.47125,101.44,101.44
5021406,102.565,102.59625,102.53375,102.565,102.59625
5021409,100.7525,100.59625,100.72125,100.69,100.72125
5021412,98.41125,98.47375,98.53625,98.505,98.255
5021416,103.09625,103.15875,103.15875,103.1275,103.1275
5021418,100.815,100.72125,100.78375,100.7525,100.78375
5021420,100.815,100.72125,100.78375,100.7525,100.78375
5021422,98.28625,98.34875,98.41125,98.38,98.255
5021427,0.0,0.0,0.0,0.0,0.0
5021431,103.09625,103.15875,103.15875,103.1275,103.1275
5021433,100.8775,100.78375,100.84625,100.84625,100.84625
5021437,0.0,0.0,0.0,0.0,0.0
5021441,0.0,0.0,0.0,0.0,0.0
5021444,99.91125,99.97375,99.97375,99.9425,99.8175
5021446,0.0,0.0,0.0,0.0,0.0
5021450,102.36,102.32875,102.32875,102.32875,102.32875
5021451,0.0,0.0,0.0,0.0,0.0
5021455,102.2975,102.26625,102.39125,102.36,102.26625
5021456,102.2525,102.34625,102.22125,102.2525,102.28375
5021461,102.7325,102.76375,102.70125,102.70125,102.70125
5021464,0.0,0.0,0.0,0.0,0.0
5021465,103.4575,103.42625,103.55125,103.52,103.42625
5021467,102.9225,102.95375,102.89125,102.95375,102.89125
5021468,104.51625,104.57875,104.57875,104.5475,104.5475
5021472,103.1725,103.20375,103.14125,103.14125,103.14125
5021475,98.5675,98.59875,98.53625,98.53625,98.41125
5021476,98.4425,98.47375,98.41125,98.41125,98.41125
5021480,0.0,0.0,0.0,0.0,0.0
5021484,99.1925,99.28625,99.22375,99.1925,99.22375
5021487,102.8575,102.88875,102.82625,102.88875,102.82625
5021488,100.94,100.97125,101.03375,101.0025,100.90875
5021492,99.78625,99.84875,99.84875,99.8175,99.8175
5021493,101.43625,101.49875,101.56125,101.53,101.405
5021494,101.7525,101.78375,101.72125,101.72125,101.72125
5021496,0.0,0.0,0.0,0.0,0.0
5021499,99.3175,99.41125,99.28625,99.3175,99.34875
5021503,0.0,0.0,0.0,0.0,0.0
5021505,99.13,99.16125,99.16125,99.13,99.16125
5021506,101.69,101.65875,101.65875,101.65875,101.65875
5021509,0.0,0.0,0.0,0.0,0.0
5021511,102.315,102.22125,102.28375,102.2525,102.34625
5021515,103.2325,103.32625,103.20125,103.2325,103.26375
5021516,97.5675,97.53625,97.59875,97.5675,97.53625
5021518,101.7525,101.78375,101.72125,101.72125,101.72125
5021519,96.7625,96.85625,96.79375,96.7625,96.79375
5021523,0.0,0.0,0.0,0.0,0.0
5021526,103.7075,103.80125,103.80125,103.77,103.55125
5021530,102.3775,102.34625,102.40875,102.3775,102.40875
5021532,0.0,0.0,0.0,0.0,0.0
5021534,101.7525,101.78375,101.72125,101.72125,101.72125
5021537,101.7525,101.78375,101.72125,101.72125,101.72125
5021539,96.60625,96.60625,96.60625,96.60625,96.575
5021540,103.9225,104.01625,103.95375,103.9225,103.95375
5021542,103.95375,104.01625,104.01625,104.01625,103.7975
5021545,102.61,102.64125,102.64125,102.6725,102.39125
5021550,103.235,103.26625,103.20375,103.235,103.26625
5021554,99.13,99.16125,99.16125,99.13,99.16125
5021555,98.34875,98.34875,98.41125,98.38,98.1925
5021558,102.36,102.39125,102.39125,102.36,102.32875
5021561,104.51625,104.57875,104.57875,104.5475,104.5475
5021562,103.6075,103.70125,103.57625,103.6075,103.63875
5021566,102.84625,102.90875,102.84625,102.8775,102.8775
5021568,103.235,103.32875,103.26625,103.26625,103.20375
5021573,101.065,101.09625,101.09625,101.065,100.90875
5021576,99.03625,99.03625,99.03625,99.03625,99.005
5021581,0.0,0.0,0.0,0.0,0.0
5021586,101.53375,101.53375,101.59625,101.565,101.5025
5021591,102.4225,102.39125,102.45375,102.4225,102.26625
5021592,98.1925,98.22375,98.16125,98.22375,98.16125
5021597,104.36,104.32875,104.39125,104.39125,104.32875
5021598,0.0,0.0,0.0,0.0,0.0
5021603,97.47375,97.47375,97.53625,97.505,97.4425
5021606,103.82875,103.89125,103.89125,103.89125,103.7975
5021610,104.26625,104.32875,104.26625,104.2975,104.2975
5021612,0.0,0.0,0.0,0.0,0.0
5021613,101.8775,101.90875,101.84625,101.90875,101.84625
5021617,97.8175,97.78625,97.84875,97.88,97.59875
5021621,102.40875,102.47125,102.47125,102.47125,102.3775
5021625,97.29375,97.29375,97.29375,97.2625,97.325
5021630,103.235,103.32875,103.26625,103.26625,103.20375
5021631,101.065,101.09625,101.03375,101.065,100.97125
5021636,95.79375,95.79375,95.85625,95.825,95.7625
5021638,102.485,102.51625,102.51625,102.5475,102.39125
5021642,101.065,101.09625,101.03375,101.065,100.97125
5021647,101.3775,101.40875,101.34625,101.40875,101.34625
5021651,101.5025,101.53375,101.47125,101.53375,101.47125
5021652,97.9425,98.03625,97.97375,98.005,97.72375
5021657,100.94,100.84625,100.90875,100.94,100.84625
5021662,101.0025,100.97125,100.97125,101.0025,100.90875
5021663,101.1275,101.22125,101.15875,101.19,101.03375
5021664,101.94,102.03375,101.90875,101.97125,101.90875
5021665,102.565,102.59625,102.53375,102.565,102.59625
5021667,102.565,102.59625,102.59625,102.565,102.47125
5021670,95.2625,95.23125,95.23125,95.2625,95.16875
5021673,0.0,0.0,0.0,0.0,0.0
5021675,97.8175,97.78625,97.78625,97.8175,97.59875
5021676,101.1275,101.09625,101.15875,101.19,100.90875
5021679,102.95375,102.95375,103.01625,102.985,102.9225
5021684,102.61,102.64125,102.64125,102.6725,102.39125
5021688,100.8775,100.84625,100.90875,100.8775,100.84625
5021693,101.065,101.09625,101.03375,101.065,100.97125
5021697,102.39125,102.45375,102.51625,102.485,102.235
5021702,102.36,102.39125,102.45375,102.4225,102.32875
5021705,0.0,0.0,0.0,0.0,0.0
5021708,101.7975,101.76625,101.82875,101.7975,101.76625
5021709,101.53375,101.53375,101.59625,101.565,101.5025
5021713,102.44,102.47125,102.40875,102.3775,102.47125
5021715,97.755,97.78625,97.72375,97.755,97.66125
5021719,103.375,103.46875,103.34375,103.40625,103.34375
5021720,97.5675,97.53625,97.59875,97.5675,97.53625
5021722,101.0025,100.97125,100.97125,100.94,100.84625
5021725,102.19,102.22125,102.15875,102.19,102.22125
5021727,100.94,100.97125,100.97125,100.94,100.90875
5021731,102.565,102.59625,102.53375,102.565,102.59625
5021733,0.0,0.0,0.0,0.0,0.0
5021737,100.94,100.97125,101.03375,101.0025,100.90875
5021740,101.0025,101.09625,101.09625,101.065,100.97125
5021742,102.2525,102.34625,102.22125,102.2525,102.28375
