loan_id,state_code,county,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,loan_type,loan_purpose,lien_position,reverse_mortgage,open_end_line_of_credit,loan_amount,closing_date,first_payment_date,maturity_date,loan_term,principal_interest_pmt,interest_rate,property_value,total_loan_costs,origition_charges,other_loan_costs,lender_credits,prepayment_pelty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,occupancy_type,manufactured_home,total_units,income_thousands,recurring_monthly_debt,median_fico_score,credit_score_type,aus_type,umbs_code,target_profit
5021367,CA,Los Angeles   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,545000,2021-08-27,2021-10-01,2041-09-01,240,2816.78,2.25,993257,10736.50000000003,10736.50000000003,0,,,,False,0,0,False,Primary residence,False,1,108,4230.0,620,Equifax Beacon 5.0,LP,UMBS 15YR 2.0,27250.000000000025
5021373,CA,Lake    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,135000,2021-08-31,2021-10-01,2051-09-01,360,585.95,3.25,232439,843.5000000000027,526.5000000000027,317,,,,False,0,0,False,Primary residence,False,1,89,3635.0,620,Experian Fair Isaac,LP,UMBS 30YR 3.0,6750.000000000006
5021380,CA,Kern    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,125000,2021-09-01,2021-10-01,2036-09-01,180,853.6899999999999,2.875,187519,5450.0,2262.5000000000005,3187.5,,,,False,0,0,False,Investment property,False,3,142,5325.0,620,Experian Fair Isaac,LP,UMBS 30YR 2.5,6250.0000000000055
5021427,NC,Forsyth    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,125000,2021-09-09,2021-10-01,2051-09-01,360,559.68,3.5,156250,2078.300000000002,487.5000000000018,1590.8000000000002,,,,False,0,0,False,Primary residence,False,1,32,1120.0,620,Equifax Beacon 5.0,LP,UMBS 30YR 3.0,6250.0000000000055
5021446,MA,Middlesex    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,535000,2021-09-11,2021-10-01,2051-09-01,360,2075.19,2.375,858060,27392.000000000073,27392.000000000073,0,,,84.0,False,0,0,False,Primary residence,False,1,122,3864.0,620,Equifax Beacon 5.0,DU,UMBS 30YR 2.0,26750.000000000025
5021441,GA,Gwinnett    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,195000,2021-09-13,2021-10-01,2051-09-01,360,846.37,3.25,291045,3006.2500000000036,760.5000000000036,2245.75,,,,False,0,0,False,Primary residence,False,1,111,3978.0,620,Experian Fair Isaac,DU,UMBS 30YR 3.0,9750.00000000001
5021451,IL,Will    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,205000,2021-09-13,2021-10-01,2051-09-01,360,861.04,2.99,259494,4925.5,3710.500000000001,1214.9999999999995,,,,False,0,0,False,Primary residence,False,1,69,2128.0,620,Experian Fair Isaac,DU,UMBS 30YR 2.5,10250.00000000001
5021464,UT,Salt Lake   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,245000,2021-09-17,2021-11-01,2051-10-01,360,997.91,2.75,331216,5541.000000000001,4434.500000000001,1106.5,,,,False,0,0,False,Primary residence,False,1,59,1770.0,620,FICO Risk Score Classic,DU,UMBS 30YR 2.5,12250.000000000011
5021480,MA,Essex    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Home purchase,1,False,False,355000,2021-08-25,2021-10-01,2051-09-01,360,1469.35,2.875,394445,9547.73,6425.5,3122.2299999999996,,,,False,0,0,False,Primary residence,False,1,89,3338.0,621,Equifax Beacon 5.0,DU,UMBS 30YR 2.5,17750.000000000015
5021496,FL,Brevard    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,455000,2021-08-25,2021-10-01,2051-09-01,360,1853.26,2.75,837013,10459.810000000003,8235.500000000004,2224.3099999999995,,,,False,0,0,False,Primary residence,False,1,149,5464.0,621,Equifax Beacon 5.0,DU,UMBS 30YR 2.5,22750.000000000022
5021503,AZ,Maricopa    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,315000,2021-09-02,2021-10-01,2051-09-01,360,1323.06,2.99,571377,7124.000000000002,5701.500000000002,1422.5,,,,False,0,0,False,Primary residence,False,1,115,4217.0,621,Equifax Beacon 5.0,LP,UMBS 30YR 2.5,15750.000000000015
5021509,IN,Madison    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,215000,2021-09-07,2021-10-01,2051-09-01,360,903.04,2.99,307143,5091.000000000001,3891.500000000001,1199.5,,,,False,0,0,False,Primary residence,False,1,112,3920.0,621,FICO Risk Score Classic,DU,UMBS 30YR 2.5,10750.00000000001
5021523,FL,Clay    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,205000,2021-09-08,2021-10-01,2051-09-01,360,903.76,3.375,256250,2843.9000000000033,799.5000000000036,2044.3999999999996,,,,False,0,0,False,Primary residence,False,1,113,1413.0,621,FICO Risk Score Classic,DU,UMBS 30YR 3.0,10250.00000000001
5021532,MI,Oakland    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,465000,2021-09-14,2021-10-01,2051-09-01,360,1893.99,2.75,670029,8881.500000000004,8416.500000000004,464.99999999999994,,,,False,0,0,False,Primary residence,False,1,330,3575.0,621,FICO Risk Score Classic,DU,UMBS 30YR 2.5,23250.000000000022
5021581,AZ,Pinal    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,105000,2021-09-14,2021-10-01,2051-09-01,360,441.02,2.99,328125,3010.9500000000003,1900.5000000000005,1110.4499999999998,,,,False,0,0,False,Primary residence,False,1,19,618.0,621,Equifax Beacon 5.0,DU,UMBS 30YR 2.5,5250.000000000005
5021598,WA,Lewis    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,135000,2021-09-17,2021-11-01,2051-10-01,360,595.16,3.375,588492,2347.8000000000025,526.5000000000027,1821.2999999999997,,,,False,0,0,False,Primary residence,False,1,24,960.0,621,Experian Fair Isaac,LP,UMBS 30YR 3.0,6750.000000000006
5021612,TX,Guadalupe    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,205000,2021-09-17,2021-11-01,2046-10-01,300,956.5699999999999,2.875,325397,3710.500000000001,3710.500000000001,0,,,,False,0,0,False,Primary residence,False,1,63,2153.0,621,Equifax Beacon 5.0,DU,UMBS 30YR 2.5,10250.00000000001
5022641,TX,Harris    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,165000,2021-08-27,2021-10-01,2036-09-01,180,1107.52,2.625,225011,10772.000000000022,8448.000000000022,2324,,,,False,0,0,False,Primary residence,False,1,82,1845.0,622,Equifax Beacon 5.0,DU,UMBS 30YR 2.0,8250.000000000007
5022654,WA,Pierce    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,245000,2021-09-01,2021-10-01,2051-09-01,360,997.91,2.75,655431,4584.000000000001,4434.500000000001,149.5,,,,False,0,0,False,Primary residence,False,1,65,2221.0,622,FICO Risk Score Classic,LP,UMBS 30YR 2.5,12250.000000000011
5021853,TX,Dallas    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,125000,2021-09-03,2021-10-01,2036-09-01,180,875.97,3.25,174557,3049.000000000002,487.5000000000018,2561.5,,,,False,0,0,False,Primary residence,False,1,38,1394.0,622,Experian Fair Isaac,DU,UMBS 30YR 3.0,6250.0000000000055
5022235,AL,Morgan    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,105000,2021-09-14,2021-10-01,2031-09-01,120,970.3199999999999,2.125,150022,8868.0,7927.500000000001,940.5,,,,False,0,0,False,Primary residence,False,1,113,3673.0,622,FICO Risk Score Classic,LP,UMBS 30YR 1.5,5250.000000000005
5023160,MD,Montgomery    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,255000,2021-09-16,2021-11-01,2051-10-01,360,1124.19,3.375,405277,3217.6100000000038,994.5000000000036,2223.11,,,,False,0,0,False,Investment property,False,1,260,6934.0,622,Experian Fair Isaac,LP,UMBS 30YR 3.0,12750.000000000011
