loan_id,closing_date,file_in_audit,file_audit_complete,file_sent_to_custodian,file_at_custodian
5023130,2021-04-01,2021-04-05 19:36:02.972,,,
5031773,2021-05-06,2021-05-10 09:07:39.400,2021-05-13 04:58:02.148,2021-05-14 04:58:02.148,
5035386,2021-05-12,2021-05-14 16:07:05.664,,,
5029192,2021-06-12,,,,
5037272,2021-06-23,2021-06-28 09:37:23.762,,,
5036674,2021-06-26,2021-06-29 23:56:11.917,,,
5033335,2021-06-28,,,,
5030138,2021-07-05,2021-07-09 01:57:35.283,,,
5033452,2021-07-07,2021-07-12 16:52:59.122,2021-07-14 16:52:59.122,2021-07-15 16:52:59.122,
5035109,2021-07-15,2021-07-19 00:00:00.000,,,
5023992,2021-07-15,,,,
5036358,2021-07-19,2021-07-23 00:51:18.294,,,
5022494,2021-07-20,2021-07-22 00:00:00.000,,,
5032643,2021-07-23,2021-07-27 17:32:31.036,,,
5030776,2021-07-26,2021-07-28 00:00:00.000,2021-08-02 21:44:51.381,2021-08-04 13:30:14.398,2021-09-17 00:00:00.000
5035229,2021-07-30,2021-08-04 17:22:40.110,2021-08-06 20:46:46.222,2021-08-09 03:31:08.914,
5031803,2021-08-02,2021-08-04 00:00:00.000,2021-08-06 02:18:55.483,2021-08-09 02:18:55.483,2021-09-13 00:00:00.000
5036400,2021-08-02,2021-08-04 00:00:00.000,2021-08-06 08:31:55.489,2021-08-09 21:38:09.161,
5037304,2021-08-02,2021-08-05 04:13:31.490,2021-08-09 04:13:31.490,2021-08-09 16:18:53.930,2021-09-17 00:00:00.000
5036637,2021-08-02,2021-08-06 22:07:06.041,2021-08-09 22:07:06.041,2021-08-09 22:07:06.041,
5027970,2021-08-02,,,,
5030953,2021-08-02,,,,
5032479,2021-08-03,2021-08-09 09:42:43.102,2021-08-09 09:42:43.102,2021-08-11 19:03:05.549,2021-09-15 00:00:00.000
5021444,2021-08-03,2021-08-10 07:41:05.660,2021-08-16 17:53:02.049,2021-08-16 17:53:02.049,2021-09-15 00:00:00.000
5032100,2021-08-03,2021-08-12 14:36:39.581,,,
5033147,2021-08-04,2021-08-09 02:00:29.312,2021-08-09 14:30:46.622,2021-08-10 14:30:46.622,
5033386,2021-08-05,2021-08-09 07:20:48.976,2021-08-12 01:38:25.288,2021-08-13 01:38:25.288,
5024865,2021-08-05,2021-08-09 13:43:51.188,2021-08-13 02:47:06.594,,
5032821,2021-08-05,2021-08-10 07:20:35.862,,,
5023503,2021-08-06,2021-08-09 00:00:00.000,2021-08-10 00:00:00.000,2021-08-11 00:00:00.000,
5031133,2021-08-06,2021-08-09 00:00:00.000,2021-08-10 00:00:00.000,,
5025627,2021-08-06,2021-08-09 06:34:56.461,2021-08-11 16:55:48.658,2021-08-12 16:55:48.658,
5031984,2021-08-07,2021-08-10 10:36:56.083,2021-08-12 10:36:56.083,2021-08-13 10:36:56.083,
5033493,2021-08-07,,,,
5027215,2021-08-09,2021-08-12 09:33:57.163,2021-08-16 09:33:57.163,2021-08-16 09:33:57.163,
5029274,2021-08-09,2021-08-16 11:55:13.451,2021-08-18 12:30:32.072,2021-08-19 15:39:26.203,
5033955,2021-08-09,,,,
5022994,2021-08-09,,,,
5029130,2021-08-10,2021-08-12 00:00:00.000,2021-08-16 00:00:00.000,2021-08-16 01:36:17.898,
5024017,2021-08-10,2021-08-13 22:19:01.043,,,
5031607,2021-08-10,2021-08-16 10:48:41.389,,,
5027860,2021-08-10,,,,
5021946,2021-08-10,,,,
5029136,2021-08-10,,,,
5024078,2021-08-10,,,,
5029190,2021-08-10,,,,
5023396,2021-08-11,2021-08-16 03:21:56.620,,,
5032179,2021-08-11,2021-08-16 06:15:34.057,,,
5026163,2021-08-11,2021-08-16 06:36:24.815,,,
5029208,2021-08-11,2021-08-16 14:49:35.347,,,
5022847,2021-08-12,2021-08-16 10:10:53.792,,,
5035465,2021-08-12,2021-08-18 01:25:18.605,,,
5031807,2021-08-12,2021-08-18 05:32:40.163,,,
5022340,2021-08-12,2021-08-18 21:23:48.894,,,
5026687,2021-08-13,2021-08-16 00:00:00.000,,,
5022892,2021-08-14,2021-08-16 00:00:00.000,2021-08-19 22:35:49.292,,
5033024,2021-08-14,2021-08-16 16:39:55.222,2021-08-18 16:39:55.222,,
5023771,2021-08-14,2021-08-18 02:40:34.861,,,
5027998,2021-08-14,2021-08-18 06:03:53.591,,,
5031172,2021-08-14,2021-08-23 20:39:56.168,2021-08-24 20:39:56.168,2021-08-25 23:59:02.500,2021-08-27 23:59:02.500
5035901,2021-08-14,,,,
5037320,2021-08-16,2021-08-18 23:20:01.398,2021-08-20 23:20:01.398,2021-08-23 23:20:01.398,2021-08-25 23:20:01.398
