loan_id,state_code,county,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,loan_type,loan_purpose,lien_position,reverse_mortgage,open_end_line_of_credit,loan_amount,closing_date,first_payment_date,maturity_date,loan_term,principal_interest_pmt,interest_rate,umbs_code,property_value,total_loan_costs,origition_charges,other_loan_costs,lender_credits,prepayment_pelty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,occupancy_type,manufactured_home,total_units,income_thousands,recurring_monthly_debt,median_fico_score,credit_score_type,aus_type,base_margin,umbs_price,trade_margin,target_profit,trade_premium,points_and_fees,total_loan_revenue,gross_profit,profit_margin,winning_bid,winner,actual_trade_premium,acctual_loan_revenue,actual_profit_margin
5021367,CA,Los Angeles   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,545000,2021-08-27,2021-10-01,2041-09-01,240,2816.78,2.25,UMBS 15YR 2.0,993257,10736.50000000003,10736.50000000003,0,,,,False,0,0,False,Primary residence,False,1,108,4230.0,620,Equifax Beacon 5.0,LP,1.05,103.03,0.030299999999999994,27250.000000000025,16513.499999999996,10736.50000000003,27250.000000000025,27250.000000000025,0.050000000000000044,0.03030000000000001,umbs_price,16513.500000000007,,
5021373,CA,Lake    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,135000,2021-08-31,2021-10-01,2051-09-01,360,585.95,3.25,UMBS 30YR 3.0,232439,843.5000000000027,526.5000000000027,317,,,,False,0,0,False,Primary residence,False,1,89,3635.0,620,Experian Fair Isaac,LP,1.05,104.61,0.04610000000000003,6750.000000000006,6223.500000000004,526.5000000000027,6750.000000000006,6750.000000000006,0.050000000000000044,0.046099999999999995,umbs_price,6223.499999999999,,
5021380,CA,Kern    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,125000,2021-09-01,2021-10-01,2036-09-01,180,853.6899999999999,2.875,UMBS 30YR 2.5,187519,5450.0,2262.5000000000005,3187.5,,,,False,0,0,False,Investment property,False,3,142,5325.0,620,Experian Fair Isaac,LP,1.05,103.19,0.03190000000000004,6250.0000000000055,3987.500000000005,2262.5000000000005,6250.0000000000055,6250.0000000000055,0.050000000000000044,0.03189999999999998,umbs_price,3987.4999999999973,,
5021427,NC,Forsyth    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,125000,2021-09-09,2021-10-01,2051-09-01,360,559.68,3.5,UMBS 30YR 3.0,156250,2078.300000000002,487.5000000000018,1590.8000000000002,,,,False,0,0,False,Primary residence,False,1,32,1120.0,620,Equifax Beacon 5.0,LP,1.05,104.61,0.04610000000000003,6250.0000000000055,5762.500000000004,487.5000000000018,6250.0000000000055,6250.0000000000055,0.050000000000000044,0.046099999999999995,umbs_price,5762.499999999999,,
5021446,MA,Middlesex    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,535000,2021-09-11,2021-10-01,2051-09-01,360,2075.19,2.375,UMBS 30YR 2.0,858060,27392.000000000073,27392.000000000073,0,,,84.0,False,0,0,False,Primary residence,False,1,122,3864.0,620,Equifax Beacon 5.0,DU,1.05,99.88,-0.0012000000000000899,26750.000000000025,-642.0000000000481,27392.000000000073,26750.000000000025,26750.000000000025,0.050000000000000044,-0.0012000000000000454,umbs_price,-642.0000000000243,,
5021441,GA,Gwinnett    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,195000,2021-09-13,2021-10-01,2051-09-01,360,846.37,3.25,UMBS 30YR 3.0,291045,3006.2500000000036,760.5000000000036,2245.75,,,,False,0,0,False,Primary residence,False,1,111,3978.0,620,Experian Fair Isaac,DU,1.05,104.61,0.04610000000000003,9750.00000000001,8989.500000000005,760.5000000000036,9750.00000000001,9750.00000000001,0.050000000000000044,0.046099999999999995,umbs_price,8989.499999999998,,
5021451,IL,Will    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,205000,2021-09-13,2021-10-01,2051-09-01,360,861.04,2.99,UMBS 30YR 2.5,259494,4925.5,3710.500000000001,1214.9999999999995,,,,False,0,0,False,Primary residence,False,1,69,2128.0,620,Experian Fair Isaac,DU,1.05,103.19,0.03190000000000004,10250.00000000001,6539.500000000008,3710.500000000001,10250.00000000001,10250.00000000001,0.050000000000000044,0.03189999999999998,umbs_price,6539.499999999995,,
5021464,UT,Salt Lake   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,245000,2021-09-17,2021-11-01,2051-10-01,360,997.91,2.75,UMBS 30YR 2.5,331216,5541.000000000001,4434.500000000001,1106.5,,,,False,0,0,False,Primary residence,False,1,59,1770.0,620,FICO Risk Score Classic,DU,1.05,103.19,0.03190000000000004,12250.000000000011,7815.50000000001,4434.500000000001,12250.000000000011,12250.000000000011,0.050000000000000044,0.03189999999999998,umbs_price,7815.4999999999945,,
5021480,MA,Essex    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Home purchase,1,False,False,355000,2021-08-25,2021-10-01,2051-09-01,360,1469.35,2.875,UMBS 30YR 2.5,394445,9547.73,6425.5,3122.2299999999996,,,,False,0,0,False,Primary residence,False,1,89,3338.0,621,Equifax Beacon 5.0,DU,1.05,103.19,0.03190000000000004,17750.000000000015,11324.500000000015,6425.5,17750.000000000015,17750.000000000015,0.050000000000000044,0.03189999999999998,umbs_price,11324.499999999993,,
5021496,FL,Brevard    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,455000,2021-08-25,2021-10-01,2051-09-01,360,1853.26,2.75,UMBS 30YR 2.5,837013,10459.810000000003,8235.500000000004,2224.3099999999995,,,,False,0,0,False,Primary residence,False,1,149,5464.0,621,Equifax Beacon 5.0,DU,1.05,103.19,0.03190000000000004,22750.000000000022,14514.500000000018,8235.500000000004,22750.000000000022,22750.000000000022,0.05000000000000005,0.03189999999999998,umbs_price,14514.499999999989,,
