umbs_code,umbs_coupon,umbs_term,umbs_price
UMBS 30YR 1.0,1.0,30,94.98
UMBS 30YR 1.5,1.5,30,97.45
UMBS 30YR 2.0,2.0,30,99.88
UMBS 30YR 2.5,2.5,30,103.19
UMBS 30YR 3.0,3.0,30,104.61
UMBS 30YR 3.5,3.5,30,105.77
UMBS 30YR 4.0,4.0,30,107.09
UMBS 30YR 4.5,4.5,30,108.11
UMBS 30YR 5.0,5.0,30,109.92
UMBS 15YR 1.5,1.5,15,100.93
UMBS 15YR 2.0,2.0,15,103.03
UMBS 15YR 2.5,2.5,15,104.17
UMBS 15YR 3.0,3.0,15,105.0
UMBS 15YR 3.5,3.5,15,106.41
UMBS 15YR 4.0,4.0,15,105.78
UMBS 15YR 4.5,4.5,15,104.28
UMBS 15YR 5.0,5.0,15,105.48
